ARPJun 5, 2025 3:54:38 PM
DEV	  Src MAC		Dest MAC		Source IP	Dest IP		Type	Vlan	Proto	D-Port	State  Idle sec  RL-Class  RL-Kbps  DSCP
----------------------------------------------------------------------------------------------------------------------------------------------------------------
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	34.107.204.85  	0x0800	0001	TCP	443	  RUN      20       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	50.19.136.125  	0x0800	0001	TCP	443	  RUN      20       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	52.112.95.62   	0x0800	0001	TCP	443	  RUN      26       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	13.69.239.78   	0x0800	0001	TCP	443	  RUN      27       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	52.123.187.103 	0x0800	0001	TCP	443	  RUN      28       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	52.123.225.96  	0x0800	0001	TCP	443	  RUN      30       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	52.112.95.67   	0x0800	0001	TCP	443	  RUN      48       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	0c-c4-7a-a8-63-00	192.168.1.121  	192.168.1.17   	0x0800	0001	UDP	55846	  RUN       0       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	0c-c4-7a-a8-63-00	192.168.1.121  	192.168.1.221  	0x0800	0001	UDP	37066	  RUN       1       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	ec-8e-77-a6-b1-4d	192.168.1.121  	192.168.1.172  	0x0800	0001	TCP	62900	  RUN       1       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	0c-c4-7a-a8-63-00	192.168.1.121  	192.168.1.17   	0x0800	0001	TCP	56140	  RUN      10       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	0c-c4-7a-a8-63-00	192.168.1.121  	192.168.1.18   	0x0800	0001	UDP	58457	  RUN      11       0	         0    - 
