file,title,topic,train,pages,path
subscriber-mgmt-vlan,Junos OS Broadband Subscriber VLANs and Interfaces User Guide,subscriber-vlan-and-qinq,26.2,472,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/subscriber-mgmt-vlan.md
mc-lag,Junos OS Multichassis Link Aggregation User Guide for Routing and Switching Devices,multichassis-link-aggregation,26.2,416,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/mc-lag.md
stp-l2,Spanning-Tree Protocols User Guide,spanning-tree,26.2,248,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/stp-l2.md
bridging-learning,Junos OS Layer 2 Bridging Address Learning and Forwarding User Guide,bridge-domain-and-mac-learning,26.2,84,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/bridging-learning.md
multicast-l2,Ethernet Switching User Guide,ethernet-switching-vlan-private-vlan-qinq,26.2,1185,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/multicast-l2.md
interfaces-ethernet-switches,Interfaces User Guide for Switches,lag-lacp-switch-interfaces,26.2,335,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-ethernet-switches.md
security-services,Junos OS Security Services Administration Guide,port-security-dhcp-snooping-arp-inspection,26.2,807,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/security-services.md
dhcp,Junos OS DHCP User Guide,dhcp-snooping,26.2,417,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/dhcp.md
evpn,Junos OS EVPN User Guide,storm-control-examples,26.2,2130,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/evpn.md
