file,title,topic,release,pages,path
connectivity-services-director-api-pwp-5.3,Junos Space Connectivity Services Director API Reference,connectivity services director api,5.3,2798,markdown2/extracted/connectivity-services-director-archives-5.3/connectivity-services-director-archives-5.3/connectivity-services-director-api-pwp-5.3.md
connectivity-services-director-user-guide-5.3,Junos Space Connectivity Services Director User Guide,connectivity services director,5.3,2042,markdown2/extracted/connectivity-services-director-archives-5.3/connectivity-services-director-archives-5.3/connectivity-services-director-user-guide-5.3.md
software-guide-junos-space-platform-21.1,Junos Space Network Management Platform Complete Software Guide,platform overview and fabric,21.1,1809,markdown2/extracted/junos-space-ntwk-management-archives-21.1/software-guide-junos-space-platform-21.1.md
workspaces-21.2,Junos Space Network Management Platform Workspaces User Guide,platform workspaces and procedures,21.1,1436,markdown2/extracted/junos-space-ntwk-management-archives-21.2/workspaces-21.2.md
network-director-pwp-4.0,Junos Space Network Director Network Director User Guide,network director,4.0,1533,markdown2/extracted/network-director-archives-4.0/network-director-pwp-4.0.md
complete-software-guide-network-director-4.0,Junos Space Network Director Complete Software Guide for Network Director Release 4.0,network director fallback,4.0,1588,markdown2/extracted/network-director-archives-4.0/complete-software-guide-network-director-4.0.md
network-director-api-reference,Junos Space Network Director API,network director api,5.3,32,markdown2/extracted/network-director-archives-5.3/network-director-archives-5.3/network-director-api-reference.md
network-director-api-reference-5.2,Junos Space Network Director API,network director api fallback,5.2,32,markdown2/extracted/network-director-archives-5.2/network-director-api-reference-5.2.md
