file,title,topic,release,pages,path
JSA-2014.6.r4-Patch-Release-Notes,Juniper Secure Analytics Patch Release Notes,operations,JSA 2014.6,12,markdown2/extracted/jsa-doc-archives-2014.6/JSA-2014.6.r4-Patch-Release-Notes.md
JSA-7.3.1-Patch-3-Patch-Release-Notes,Juniper Secure AnalyticsPatch Release Notes,operations,JSA 7.3.1,12,markdown2/extracted/jsa-doc-archives-7.3.1/JSA-7.3.1-Patch-3-Patch-Release-Notes.md
JSA-7.3.1-Patch-4-Patch-Release-Notes,Juniper Secure AnalyticsPatch Release Notes,operations,JSA 7.3.1,12,markdown2/extracted/jsa-doc-archives-7.3.1/JSA-7.3.1-Patch-4-Patch-Release-Notes.md
JSA-7.3.3-ISO-Release-Notes,Juniper Secure AnalyticsPatch Release Notes,operations,JSA 7.3.3,12,markdown2/extracted/jsa-doc-archives-7.3.3/JSA-7.3.3-ISO-Release-Notes.md
jatp-all-in-one-quick-start,Juniper ATP Appliance All-in-One Quick Start Guide.book,jatp,JATP archive,12,markdown2/extracted/jatp-doc-archives/jatp-all-in-one-quick-start.md
jsa-7.3.0-patch-6-sfs-patch-release-notes,Juniper Secure Analytics Patch Release Notes,operations,JSA 7.3.0,12,markdown2/extracted/jsa-doc-archives-7.3.0/jsa-7.3.0-patch-6-sfs-patch-release-notes.md
jsa-7.3.0-patch-7-iso-patch-release-notes,Juniper Secure Analytics Patch Release Notes,operations,JSA 7.3.0,12,markdown2/extracted/jsa-doc-archives-7.3.0/jsa-7.3.0-patch-7-iso-patch-release-notes.md
jsa-content-management-tool,Using the Content Management Tool (SMT),rules-offenses,JSA 2014.3,12,markdown2/extracted/jsa-doc-archives-2014.3/jsa-content-management-tool.md
jsa-upgrade,Upgrading Juniper Secure Analytics to 7.4.2,operations,JSA 7.4.2,12,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-upgrade.md
strm-content-management-tool,Using the Content Management Tool (CMT),rules-offenses,STRM 2013.2,12,markdown2/extracted/strm-doc-archives/2013_2/strm-content-management-tool.md
strm-tail2-syslog,Tail2Syslog.book,log-source,STRM 2013.2,12,markdown2/extracted/strm-doc-archives/2013_2/strm-tail2-syslog.md
