file,title,topic,release,pages,path
strm-hardware-installation,STRM Hardware Installation Guide,deployment,STRM 2013.2,44,markdown2/extracted/strm-doc-archives/2013_2/strm-hardware-installation.md
strm-lm-release-notes,STRM Log Manager Release Notes,operations,STRM 2013.1,44,markdown2/extracted/strm-doc-archives/2013_1/strm-lm-release-notes.md
strm-nebs-hardware-installation,Hardware-Guide-NEBS.book,deployment,STRM 2013.2,44,markdown2/extracted/strm-doc-archives/2013_2/strm-nebs-hardware-installation.md
JSA2014.2r2-Patch-Release-Notes,JSA Patch Release Notes,operations,JSA 2014.2,42,markdown2/extracted/jsa-doc-archives-2014.2/JSA2014.2r2-Patch-Release-Notes.md
strm-getting-started-guide,STRM Getting Started Guide,deployment,STRM 2013.2,42,markdown2/extracted/strm-doc-archives/2013_2/strm-getting-started-guide.md
strm-tuning-guide,STRM Tuning Guide,rules-offenses,STRM 2013.2,42,markdown2/extracted/strm-doc-archives/2013_2/strm-tuning-guide.md
pathway-page-m-container-offboard,Juniper Secure Analytics Configuring Offboard Storage Guide,operations,JSA 7.3.3,41,markdown2/extracted/jsa-doc-archives-7.3.3/pathway-page-m-container-offboard.md
jatp-cef-leef-and-syslog-support,"CEF, LEEF & Syslog Support for SIEM User's Guide",log-source,JATP archive,40,markdown2/extracted/jatp-doc-archives/jatp-cef-leef-and-syslog-support.md
jsa-lm-installation-guide,JSA Log Manager Installation Guide,deployment,JSA 2014.3,40,markdown2/extracted/jsa-doc-archives-2014.3/jsa-lm-installation-guide.md
lm-installation-guide,JSA Log Manager Installation Guide,deployment,JSA 2014.4,40,markdown2/extracted/jsa-doc-archives-2014.4/lm-installation-guide.md
jsa-risk-manager-getting-started,Juniper Secure Analytics Risk Manager Getting Started Guide,deployment,JSA 7.4.2,39,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-risk-manager-getting-started.md
la-installation-guide,JSA Log Analytics Installation Guide,deployment,JSA 2014.1,39,markdown2/extracted/jsa-doc-archives-2014.1/la-installation-guide.md
jsa-container-offboard-7.4.2,Juniper Secure Analytics Configuring Offboard Storage Guide,operations,JSA 7.4.2,36,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-container-offboard-7.4.2.md
strm-2013.2.r11-release-notes,Juniper Secure Analytics Release Notes,operations,STRM 2013.2,35,markdown2/extracted/strm-doc-archives/2013_2/strm-2013.2.r11-release-notes.md
jatp-core-central-manager-quick-start-guide,Core/Central Manager Quick Start Guide,jatp,JATP archive,32,markdown2/extracted/jatp-doc-archives/jatp-core-central-manager-quick-start-guide.md
jatp-traffic-collector-quick-start-guide,Traffic Collector Quick Start Guide,jatp,JATP archive,32,markdown2/extracted/jatp-doc-archives/jatp-traffic-collector-quick-start-guide.md
jsa-analytics-api-reference-7.4.2,Juniper Secure Analytics API Guide,api,JSA 7.4.2,32,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-analytics-api-reference-7.4.2.md
jatp-cef-leef-siem-user-guide,Juniper_ATP_Appliance_CEF_LEEF_SIEM_Users_Guide.book,log-source,JATP archive,30,markdown2/extracted/jatp-doc-archives/jatp-cef-leef-siem-user-guide.md
jsa-log-event-extended-format-guide,LEEF Format Guide,log-source,JSA 2014.8,30,markdown2/extracted/jsa-doc-archives-2014.8/jsa-log-event-extended-format-guide.md
pathway-page-m-assistant-app,QRadar Assistant App Guide,general,JSA 7.4.1,30,markdown2/extracted/jsa-doc-archives-7.4.1/pathway-page-m-assistant-app.md
jatp-all-in-one-guide,All-in-One Quick Start Guide,jatp,JATP archive,29,markdown2/extracted/jatp-doc-archives/jatp-all-in-one-guide.md
pathway-page-m-container-upgrade,Upgrading Juniper Secure Analytics to 7.3.1,operations,JSA 7.3.1,29,markdown2/extracted/jsa-doc-archives-7.3.1/pathway-page-m-container-upgrade.md
JSA 7.3.2 NSM Plug-in Guide,Juniper Secure Analytics NSM Plug-In Users Guide,log-source,JSA 7.3.2,28,markdown2/extracted/jsa-doc-archives-7.3.2/JSA 7.3.2 NSM Plug-in Guide.md
jsa-nsm-plugin.pdf,Juniper Secure Analytics NSM Plug-In Users Guide,log-source,JSA 7.3.2,28,markdown2/extracted/jsa-doc-archives-7.3.2/jsa-nsm-plugin.pdf.md
jsa-qradar-assistant-app,QRadar Assistant App Guide,general,JSA 7.4.2,28,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-qradar-assistant-app.md
JSA-2014.3.r2-Patch-Release-Notes,Juniper Secure Analytics Patch Release Notes,operations,JSA 2014.3,27,markdown2/extracted/jsa-doc-archives-2014.3/JSA-2014.3.r2-Patch-Release-Notes.md
jsa-leef,Juniper Secure Analytics Log Event Extended Format Guide,log-source,JSA 7.4.2,27,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-leef.md
pathway-page-m-container-qapps-lsm,QRadar Log Source Management App,log-source,JSA 7.4.1,27,markdown2/extracted/jsa-doc-archives-7.4.1/pathway-page-m-container-qapps-lsm.md
pathway-page-m-leef-format-guide,Juniper Secure Analytics Log Event Extended Format Guide,log-source,JSA 7.4.1,27,markdown2/extracted/jsa-doc-archives-7.4.1/pathway-page-m-leef-format-guide.md
